Race,Poll model,Democrat,Republican,Libertarian,Green,leading_margin
Two-way,270toWin[4],47.2,43.6,,,3.6
Two-way,BBC[5],48.0,44.0,,,4.0
Two-way,HuffPost Pollster[6],47.3,42.0,,,5.3
Two-way,New York Times[7],45.9,42.8,,,3.1
Two-way,Real Clear Politics[8],46.8,43.6,,,3.2
Two-way,TPM Polltracker[9],48.8,43.9,,,4.9
Three-way,FiveThirtyEight[10],45.7,41.8,4.8,,3.9
Three-way,HuffPost Pollster[6],45.7,40.8,5.0,,4.9
Three-way,New York Times[7],45.4,42.3,5.0,,3.1
Three-way,TPM Polltracker[9],46.0,44.1,4.9,,1.9
Four-way,270toWin[4],45.6,42.5,4.8,2.1,3.1
Four-way,Real Clear Politics[11],45.5,42.2,4.7,1.9,3.3
Four-way,CNN Poll of Polls[12],46.0,42.0,5.0,2.0,4.0
Four-way,TPM Polltracker[9],46.6,43.8,4.6,2.7,2.8
Election results (popular vote),,48.2,46.1,3.3,1.1,2.1
