Poll source,Date,Hillary Clinton Democratic,Donald Trump Republican,Gary Johnson Libertarian,Jill Stein Green,Leading by (points),Sample size,Margin of error
YouGov/The Economist[14],"November 4–7, 2016",45%,41%,5%,2%,4,3677.0,± 1.7%
Insights West[563],"November 4–7, 2016",49%,45%,4%,1%,4,940.0,± 3.2%
Bloomberg News/Selzer[15],"November 4–6, 2016",44%,41%,4%,2%,3,799.0,± 3.5%
Gravis Marketing[564],"November 3–6, 2016",47%,43%,3%,2%,4,16639.0,± 0.8%
ABC News/Washington Post[16],"November 3–6, 2016",47%,43%,4%,1%,4,2220.0,± 2.5%
Fox News[17],"November 3–6, 2016",48%,44%,3%,2%,4,1295.0,± 2.5%
IBD/TIPP[18],"November 3–6, 2016",41%,43%,6%,2%,2,1026.0,± 3.1%
Monmouth University[19],"November 3–6, 2016",50%,44%,4%,1%,6,802.0,± 3.6%
Ipsos/Reuters[20],"November 2–6, 2016",42%,39%,6%,3%,3,2195.0,± 2.4%
CBS News/New York Times[21],"November 2–6, 2016",45%,41%,5%,2%,4,1426.0,± 3.0%
Rasmussen Reports[565],"November 2–6, 2016",45%,43%,4%,2%,2,1500.0,± 2.5%
NBC News/SurveyMonkey[22],"October 31– November 6, 2016",47%,41%,6%,3%,6,70194.0,± 1.0%
Politico/Morning Consult[566],"November 4–5, 2016",45%,42%,8%,2%,3,1482.0,± 3.0%
NBC News/Wall Street Journal[24],"November 3–5, 2016",44%,40%,6%,2%,4,1282.0,± 2.73%
ABC News/Washington Post[25],"November 2–5, 2016",47%,43%,4%,2%,4,1937.0,± 2.5%
IBD/TIPP[26],"November 2–5, 2016",43%,44%,5%,2%,1,903.0,± 3.3%
Franklin Pierce University/Boston Herald[567],"November 1–5, 2016",48%,44%,4%,2%,4,1009.0,± 3.1%
ABC News/Washington Post[29],"November 1–4, 2016",48%,43%,4%,2%,5,1685.0,± 2.5%
IBD/TIPP[30],"November 1–4, 2016",44%,44%,5%,2%,Tied,804.0,± 3.5%
Ipsos/Reuters[31],"October 31 – November 4, 2016",43%,39%,6%,2%,4,2244.0,± 2.4%
Rasmussen Reports[568],"November 1–3, 2016",44%,44%,4%,1%,Tied,1500.0,± 2.5%
Fox News[34],"November 1–3, 2016",45%,43%,5%,2%,2,1107.0,± 3.0%
McClatchy/Marist[35],"November 1–3, 2016",44%,43%,6%,2%,1,940.0,± 3.2%
IBD/TIPP[38],"October 30 – November 3, 2016",44%,44%,4%,2%,Tied,898.0,± 3.3%
ABC News/Washington Post[37],"October 31 – November 3, 2016",47%,43%,4%,2%,4,1419.0,± 3.0%
Ipsos/Reuters[36],"October 30 – November 3, 2016",44%,37%,6%,2%,7,2021.0,± 2.6%
Gravis Marketing/Breitbart News[569],"November 1–2, 2016",47%,45%,3%,1%,2,2435.0,± 2.0%
Rasmussen Reports[570],"October 31 – November 2, 2016",42%,45%,4%,1%,3,1500.0,± 2.5%
ABC News/Washington Post[40],"October 30 – November 2, 2016",47%,44%,3%,2%,3,1151.0,± 3.0%
IBD/TIPP[42],"October 29 – November 2, 2016",44%,44%,4%,2%,Tied,867.0,± 3.4%
Ipsos/Reuters[41],"October 29 – November 2, 2016",45%,37%,5%,2%,8,1858.0,± 2.6%
Rasmussen Reports[571],"October 30 – November 1, 2016",44%,44%,5%,2%,Tied,1500.0,± 2.5%
YouGov/Economist[47],"October 30 – November 1, 2016",46%,43%,4%,2%,3,1233.0,± 3.2%
ABC News/Washington Post[44],"October 29 – November 1, 2016",47%,45%,3%,2%,2,1167.0,± 3.0%
CBS News/New York Times[45],"October 28 – November 1, 2016",45%,42%,5%,4%,3,862.0,± 3.4%
Ipsos/Reuters[46],"October 28 – November 1, 2016",45%,37%,5%,2%,8,1772.0,± 3.0%
IBD/TIPP[48],"October 27 – November 1, 2016",44%,44%,4%,2%,Tied,862.0,± 3.4%
ABC News/Washington Post[51],"October 28–31, 2016",46%,46%,3%,2%,Tied,1167.0,± 3.0%
Rasmussen Reports[572],"October 27–31, 2016",45%,45%,5%,2%,Tied,1500.0,± 2.5%
IBD/TIPP[52],"October 26–31, 2016",45%,44%,4%,2%,1,1018.0,± 3.2%
Politico/Morning Consult[53],"October 29–30, 2016",42%,39%,7%,5%,3,1772.0,±2.0%
ABC News/Washington Post[55],"October 27–30, 2016",45%,46%,3%,2%,1,1167.0,± 3.0%
Ipsos/Reuters[56],"October 26–30, 2016",43%,37%,6%,1%,6,1264.0,± 3.0%
Rasmussen Reports[573],"October 26–30, 2016",45%,42%,5%,2%,3,1500.0,± 2.5%
IBD/TIPP[57],"October 25–30, 2016",45%,44%,4%,2%,1,993.0,± 3.2%
NBC News/SurveyMonkey[59],"October 24–30, 2016",47%,41%,6%,3%,6,40816.0,±1.0%
ABC News/Washington Post[60],"October 26–29, 2016",46%,45%,4%,2%,1,1165.0,± 3.0%
IBD/TIPP[61],"October 24–29, 2016",44%,42%,6%,2%,2,1039.0,± 3.3%
Red Oak Strategic/Google Consumer Surveys[574],"October 27–28, 2016",37%,37%,6%,2%,Tied,943.0,± 3.7%
Morning Consult[63],"October 27–28, 2016",42%,39%,8%,4%,3,1794.0,± 2.0%
ABC News/Washington Post[64],"October 25–28, 2016",46%,45%,4%,2%,1,1160.0,± 3.0%
IBD/TIPP[65],"October 23–28, 2016",45%,41%,7%,2%,4,1013.0,± 3.3%
Rasmussen Reports[575],"October 25–27, 2016",45%,45%,3%,2%,Tied,1500.0,±2.5%
ABC News/Washington Post[66],"October 24–27, 2016",47%,45%,4%,2%,2,1148.0,±3.0%
IBD/TIPP[67],"October 22–27, 2016",44%,41%,7%,2%,3,973.0,± 3.3%
Gravis Marketing/Breitbart[576],"October 25–26, 2016",46%,45%,3%,1%,1,1824.0,±2.3%
Rasmussen Reports[577],"October 24–26, 2016",45%,44%,4%,1%,1,1500.0,±2.5%
ABC News/Washington Post[70],"October 23–26, 2016",48%,44%,4%,1%,4,1150.0,±3.0%
YouGov/Economist[71],"October 22–26, 2016",46%,41%,4%,2%,5,1376.0,±3.1%
Saint Leo University[578],"October 22–26, 2016",45%,34%,6%,2%,11,1050.0,±%
IBD/TIPP[72],"October 21–26, 2016",43%,41%,8%,2%,2,945.0,± 3.3%
Rasmussen Reports[579],"October 23–25, 2016",44%,43%,4%,1%,1,1500.0,±2.5%
Fox News[74],"October 22–25, 2016",44%,41%,7%,3%,3,1221.0,±2.5%
ABC News/Washington Post[75],"October 22–25, 2016",48%,42%,5%,1%,6,1135.0,±3.0%
Pew Research Center[76],"October 20–25, 2016",46%,40%,6%,3%,6,2120.0,± 2.4%
IBD/TIPP[77],"October 20–25, 2016",42%,41%,8%,3%,1,921.0,± 3.3%
CNBC[80],"October 21–24, 2016",43%,34%,7%,2%,9,804.0,± 3.5%
ABC News[81],"October 21–24, 2016",49%,40%,5%,2%,9,1119.0,±3.0%
Greenberg Quinlan Rosner[82],"October 21–24, 2016",50%,38%,5%,2%,12,900.0,± 3.27%
Associated Press/GFK[83],"October 20–24, 2016",51%,37%,6%,2%,14,1546.0,± 2.75%
USA Today/Suffolk University[84],"October 20–24, 2016",47%,38%,4%,2%,9,1000.0,±3.0%
Ipsos/Reuters[85],"October 20–24, 2016",42%,38%,7%,2%,4,1170.0,±3.3%
Rasmussen Reports[580],"October 20–24, 2016",43%,42%,5%,2%,1,1500.0,±2.5%
