Poll source,Date,Democratic candidate,%,Republican candidate,%.1,Third candidate,%.2,Lead margin
ABC News/Washington Post[363] Sample size: 823 Margin of error: ± 3.5%,"May 16–19, 2016",Hillary Clinton,37%,Donald Trump,35%,Mitt Romney,22%,2
"Public Policy Polling[387] Sample size: 1,083 Margin of error ±3.0%","March 24–26, 2016",Hillary Clinton,42%,Donald Trump,37%,Deez Nuts,10%,5
"Public Policy Polling[387] Sample size: 1,083 Margin of error ±3.0%","March 24–26, 2016",Bernie Sanders,43%,Donald Trump,37%,Deez Nuts,8%,6
"Public Policy Polling[387] Sample size: 1,083 Margin of error ±3.0%","March 24–26, 2016",Hillary Clinton,44%,Donald Trump,35%,Rick Perry,12%,9
"Public Policy Polling[387] Sample size: 1,083 Margin of error ±3.0%","March 24–26, 2016",Bernie Sanders,43%,Donald Trump,34%,Rick Perry,12%,9
"Quinnipiac University[555] Sample size: 1,342 Margin of error ±2.7%","February 10–15, 2016",Bernie Sanders,38%,Donald Trump,38%,Michael Bloomberg,12%,Tied
"Quinnipiac University[555] Sample size: 1,342 Margin of error ±2.7%","February 10–15, 2016",Bernie Sanders,39%,Ted Cruz,33%,Michael Bloomberg,14%,6
"Suffolk University/USA Today[556] Sample size: 1,000 Margin of error ± 3%","February 11–15, 2016",Bernie Sanders,30%,Donald Trump,37%,Michael Bloomberg,16%,7
"Quinnipiac University[400] Sample size: 1,125 Margin of error ±2.9%","February 2–4, 2016",Bernie Sanders,35%,Donald Trump,36%,Michael Bloomberg,15%,1
"Quinnipiac University[400] Sample size: 1,125 Margin of error ±2.9%","February 2–4, 2016",Bernie Sanders,37%,Ted Cruz,36%,Michael Bloomberg,15%,1
"Public Policy Polling[557] Sample size: 1,236 Margin of error","February 2–3, 2016",Hillary Clinton,41%,Donald Trump,37%,Michael Bloomberg,11%,4
"Public Policy Polling[557] Sample size: 1,236 Margin of error","February 2–3, 2016",Bernie Sanders,36%,Donald Trump,39%,Michael Bloomberg,13%,3
Luntz Global[558] Sample size: 900 Margin of error ±3.3%,"January 26–27, 2016",Hillary Clinton,33%,Donald Trump,37%,Michael Bloomberg,29%,4
Luntz Global[558] Sample size: 900 Margin of error ±3.3%,"January 26–27, 2016",Hillary Clinton,37%,Ted Cruz,35%,Michael Bloomberg,28%,2
Luntz Global[558] Sample size: 900 Margin of error ±3.3%,"January 26–27, 2016",Hillary Clinton,35%,Marco Rubio,38%,Michael Bloomberg,28%,3
"Morning Consult[559] Sample size: 1,439 Margin of error ±3%","January 21–24, 2016",Bernie Sanders,35%,Donald Trump,34%,Michael Bloomberg,12%,1
"Morning Consult[559] Sample size: 1,439 Margin of error ±3%","January 21–24, 2016",Bernie Sanders,36%,Ted Cruz,28%,Michael Bloomberg,11%,8
"Morning Consult[559] Sample size: 1,439 Margin of error ±3%","January 21–24, 2016",Bernie Sanders,36%,Marco Rubio,29%,Michael Bloomberg,10%,7
"Morning Consult[560] Sample size: 4,060 Margin of error ±2%","January 14–17, 2016",Hillary Clinton,38%,Ted Cruz,34%,Michael Bloomberg,11%,4
"Morning Consult[560] Sample size: 4,060 Margin of error ±2%","January 14–17, 2016",Hillary Clinton,38%,Marco Rubio,33%,Michael Bloomberg,10%,5
"Morning Consult[560] Sample size: 4,060 Margin of error ±2%","January 14–17, 2016",Hillary Clinton,36%,Donald Trump,37%,Michael Bloomberg,13%,1
Saint Leo University Polling Institute[561],"November 29 – December 3, 2015",Hillary Clinton,45.4%,Ted Cruz,19.9%,Donald Trump,26.1%,19.3
