Poll source,Date,Democratic candidate,%,Republican candidate,%.1,Leading by %,Sample size,Margin of error
Ipsos/Reuters[277],"July 25–29, 2016",Hillary Clinton,40%,Donald Trump,35%,5,1290,± 2.4%
Rasmussen Reports[278],"July 26–27, 2016",Hillary Clinton,43%,Donald Trump,42%,1,1000,± 3.0%
Ipsos/Reuters[279],"July 22–26, 2016",Hillary Clinton,37%,Donald Trump,39%,2,963,± 4.0%
USC/Los Angeles Times[280],"July 20–26, 2016",Hillary Clinton,40%,Donald Trump,47%,7,2150,± 3%
Economist/YouGov[281],"July 23–24, 2016",Hillary Clinton,47%,Donald Trump,42%,5,1300,± 4.5%
Morning Consult[282],"July 22–24, 2016",Hillary Clinton,40%,Donald Trump,44%,4,2502,± 2%
CBS News[283],"July 22–24, 2016",Hillary Clinton,43%,Donald Trump,44%,1,1118,± 4%
CNN/ORC[284],"July 22–24, 2016",Hillary Clinton,45%,Donald Trump,48%,3,882,± 3.5%
University of Delaware[285],"July 21–24, 2016",Hillary Clinton,46%,Donald Trump,42%,4,818,± 4%
NBC News/SurveyMonkey[286],"July 18–24, 2016",Hillary Clinton,46%,Donald Trump,45%,1,12931,± 1.2%
USC/Los Angeles Times[280],"July 18–24, 2016",Hillary Clinton,41%,Donald Trump,45%,4,2083,± 3%
Echelon Insights[287],"July 21–22, 2016",Hillary Clinton,45%,Donald Trump,41%,4,912,± ?%
Ipsos/Reuters[288],"July 18–22, 2016",Hillary Clinton,41%,Donald Trump,38%,3,1036,± 4.0%
USC/Los Angeles Times[289],"July 16–22, 2016",Hillary Clinton,42%,Donald Trump,44%,2,2010,± %
American Research Group[290],"July 17–20, 2016",Hillary Clinton,43%,Donald Trump,42%,1,990,± 3.2%
Ipsos/Reuters[291],"July 16–20, 2016",Hillary Clinton,40%,Donald Trump,36%,4,1522,± 2.9%
Rasmussen Reports[292],"July 18–19, 2016",Hillary Clinton,42%,Donald Trump,43%,1,1000,± 3.0%
Greenberg Quinlan Rosner[293],"July 13–18, 2016",Hillary Clinton,50%,Donald Trump,43%,7,900,± 3.27%
Economist/YouGov[294],"July 15–17, 2016",Hillary Clinton,45%,Donald Trump,41%,4,925,± 4.5%
NBC News/SurveyMonkey[295],"July 11–17, 2016",Hillary Clinton,46%,Donald Trump,45%,1,9436,± 1.4%
Morning Consult[296],"July 14–16, 2016",Hillary Clinton,41%,Donald Trump,39%,2,2002,± 2%
CNN/ORC[297],"July 13–16, 2016",Hillary Clinton,49%,Donald Trump,42%,7,872,± 3.5%
icitizen[298],"July 12–15, 2016",Hillary Clinton,46%,Donald Trump,41%,5,1000,± %
ABC News/Washington Post[299],"July 11–14, 2016",Hillary Clinton,47%,Donald Trump,43%,4,1003,± 3.5%
USC/Los Angeles Times[300],"July 8–14, 2016",Hillary Clinton,40%,Donald Trump,43%,3,1608,± 3.0%
Rasmussen Reports[301],"July 12–13, 2016",Hillary Clinton,37%,Donald Trump,44%,7,1000,± 3.0%
NBC News/Wall Street Journal[302],"July 9–13, 2016",Hillary Clinton,46%,Donald Trump,41%,5,1000,± 3.1%
CBS News/New York Times[303],"July 8–12, 2016",Hillary Clinton,40%,Donald Trump,40%,Tied,1358,± 3.0%
The Economist/YouGov[304],"July 9–11, 2016",Hillary Clinton,45%,Donald Trump,43%,2,1300,± 4.2%
NBC News/SurveyMonkey[305],"July 4–10, 2016",Hillary Clinton,47%,Donald Trump,44%,3,7869,± 1.4%
Morning Consult[306],"July 8–10, 2016",Hillary Clinton,42%,Donald Trump,41%,1,2001,± 2%
McClatchy-Marist[307],"July 5–9, 2016",Hillary Clinton,42%,Donald Trump,39%,3,1053,± 3%
Ipsos/Reuters[308],"July 2–6, 2016",Hillary Clinton,44%,Donald Trump,33%,11,1345,± 2.8%
Rasmussen Reports[309],"July 5, 2016",Hillary Clinton,40%,Donald Trump,42%,2,1000,± 3.0%
Ipsos/Reuters[310],"July 1–5, 2016",Hillary Clinton,46%,Donald Trump,33%,13,1441,± 3.0%
The Economist/YouGov[311],"July 2–4, 2016",Hillary Clinton,47%,Donald Trump,42%,5,1300,± 3.9%
Morning Consult[312],"June 30 – July 4, 2016",Hillary Clinton,41%,Donald Trump,40%,1,2001,± 2%
NBC News/SurveyMonkey[313],"June 27 – July 3, 2016",Hillary Clinton,48%,Donald Trump,43%,5,10072,± 1.3%
Ipsos/Reuters[314],"June 27 – July 1, 2016",Hillary Clinton,44%,Donald Trump,35%,9.4,1080,± 3.5%
Rasmussen Reports[315],"June 28–29, 2016",Hillary Clinton,39%,Donald Trump,43%,4,1000,± 3.0%
Suffolk University/USA Today[316],"June 26–29, 2016",Hillary Clinton,46%,Donald Trump,40%,5.2,1000,± 3.0%
Ipsos/Reuters[317],"June 25–29, 2016",Hillary Clinton,42%,Donald Trump,32%,10,1247,± 2.8%
IBD/TIPP[318],"June 24–29, 2016",Hillary Clinton,44%,Donald Trump,40%,4,837,± 3.5%
One America News Network/Gravis Marketing[319],"June 27–28, 2016",Hillary Clinton,50%,Donald Trump,50%,Tied,2162,± 2.1%
Public Policy Polling[320],"June 27–28, 2016",Hillary Clinton,48%,Donald Trump,44%,4,947,± 3.2%
Fox News[321],"June 26–28, 2016",Hillary Clinton,44%,Donald Trump,38%,6,1017,± 3%
Morning Consult[322],"June 24–27, 2016",Hillary Clinton,44%,Donald Trump,39%,5,1998,± 2%
Quinnipiac University[323],"June 21–27, 2016",Hillary Clinton,42%,Donald Trump,40%,2,1610,± 2.4%
NBC News/SurveyMonkey[324],"June 20–26, 2016",Hillary Clinton,49%,Donald Trump,41%,8,5818,± 1.8%
Pew Research[325],"June 15–26, 2016",Hillary Clinton,51%,Donald Trump,42%,9,1655,± 2.7%
Ipsos/Reuters[326],"June 20–24, 2016",Hillary Clinton,47%,Donald Trump,33%,14,1201,± 3.3%
ABC News/Washington Post[327],"June 20–23, 2016",Hillary Clinton,51%,Donald Trump,39%,12,1001,± 3.5%
