Poll source,Date,Democratic candidate,%,Republican candidate,%.1,Libertarian candidate,%.2,Lead margin
"Fox News[267] Sample size: 1,022 Margin of error: ±3%","July 31 – August 2, 2016",Hillary Clinton,44%,Donald Trump,35%,Gary Johnson,12%,9
"Penn Schoen Berland[546] Sample size: 1,000 Margin of error: ±3%","July 29 – August 1, 2016",Hillary Clinton,45%,Donald Trump,40%,Gary Johnson,15%,5
"CBS News[273] Sample size: 1,131 Margin of error: ±3%","July 29–31, 2016",Hillary Clinton,43%,Donald Trump,38%,Gary Johnson,10%,5
"Morning Consult[275] Sample size: 1,931 Margin of error: ±2%","July 29–30, 2016",Hillary Clinton,41%,Donald Trump,36%,Gary Johnson,11%,5
"Morning Consult[282] Sample size: 2,502 Margin of error: ±2%","July 22–24, 2016",Hillary Clinton,36%,Donald Trump,40%,Gary Johnson,10%,4
"CBS News[283] Sample size: 1,118 adults Margin of error ±4%","July 22–24, 2016",Hillary Clinton,39%,Donald Trump,40%,Gary Johnson,12%,1
Greenberg Quinlan Rosner[293] Sample size: 900 Margin of error: ±3.27%,"July 13–18, 2016",Hillary Clinton,43%,Donald Trump,40%,Gary Johnson,11%,3
"Morning Consult[296] Sample size: 2,002 Margin of error: ±2%","July 14–16, 2016",Hillary Clinton,38%,Donald Trump,35%,Gary Johnson,11%,3
"CBS News/New York Times[303] Sample size: 1,358 Margin of error: ±3%","July 8–12, 2016",Hillary Clinton,36%,Donald Trump,36%,Gary Johnson,12%,Tied
"Morning Consult[306] Sample size: 2,001 Margin of error: ±2%","July 8–10, 2016",Hillary Clinton,39%,Donald Trump,37%,Gary Johnson,12%,2
"Rasmussen Reports[547] Sample size: 1,000 Margin of error: ±3%","July 5, 2016",Hillary Clinton,38%,Donald Trump,40%,Gary Johnson,9%,2
"Morning Consult[312] Sample size: 2,001 Margin of error: ±2%","June 30 – July 4, 2016",Hillary Clinton,38%,Donald Trump,37%,Gary Johnson,11%,1
"Fox News[321] Sample size: 1,017 Margin of error: ±3%","June 26–28, 2016",Hillary Clinton,41%,Donald Trump,36%,Gary Johnson,10%,5
Greenberg Quinlan Rosner[548] Sample size: 900 Margin of error: ±3.27%,"June 23–28, 2016",Hillary Clinton,48%,Donald Trump,37%,Gary Johnson,8%,11
"The Economist/YouGov[549] Sample size: 1,300 Margin of error: ±3.9%","June 24–27, 2016",Hillary Clinton,40%,Donald Trump,35%,Gary Johnson,8%,5
Morning Consult[322] Sample size: 4001 Margin of error: ±2%,"June 24–27, 2016",Hillary Clinton,39%,Donald Trump,36%,Gary Johnson,11%,3
"Pew Research[325] Sample size: 1,655 Margin of error: ±2.7%","June 15–26, 2016",Hillary Clinton,45%,Donald Trump,36%,Gary Johnson,11%,9
Morning Consult[550] Sample size: 3891 Margin of error: ±2%,"June 15–20, 2016",Hillary Clinton,38%,Donald Trump,38%,Gary Johnson,10%,Tied
CBS News[342] Sample size: 1048 Margin of error: ± 3.0%,"June 9–13, 2016",Hillary Clinton,39%,Donald Trump,32%,Gary Johnson,11%,7
Bloomberg Politics[551] Sample size: 750 Margin of error: ± 3.6%,"June 10–13, 2016",Hillary Clinton,49%,Donald Trump,37%,Gary Johnson,9%,12
Morning Consult[552] Sample size: 1004 Margin of error: ± 3%,"June 8–9, 2016",Hillary Clinton,39%,Donald Trump,33%,Gary Johnson,10%,6
Fox News[553] Sample size: 1004 Margin of error: ± 3%,"June 5–8, 2016",Hillary Clinton,39%,Donald Trump,36%,Gary Johnson,12%,3
Rasmussen Report[347] Sample size: 1000 Margin of error: ± 3%,"June 6–7, 2016",Hillary Clinton,38%,Donald Trump,37%,Gary Johnson,8%,1
Morning Consult[554] Sample size: 2001 Margin of error: ± 2%,"June 1–4, 2016",Hillary Clinton,37%,Donald Trump,35%,Gary Johnson (identified as Independent),10%,2
Morning Consult[554] Sample size: 2001 Margin of error: ± 2%,"June 1–4, 2016",Hillary Clinton,36%,Donald Trump,37%,Gary Johnson (identified as Libertarian),10%,1
Morning Consult[360] Sample size: 2001 Margin of error: ± 2%,"May 19–23, 2016",Hillary Clinton,38%,Donald Trump,35%,Gary Johnson,10%,3
"Fox News[368] Sample size: 1,021 Margin of error: ± 3.0%","May 14–17, 2016",Hillary Clinton,39%,Donald Trump,42%,Gary Johnson,10%,3
Monmouth University[392] Sample size: 848 Margin of error ±3.4%,"March 17–20, 2016",Hillary Clinton,42%,Donald Trump,34%,Gary Johnson,11%,8
