Poll source,Date,Hillary Clinton Democratic,Donald Trump Republican,Gary Johnson Libertarian,Leading by (points),Sample size,Margin of error
Google Consumer Surveys[536],"November 1–7, 2016",38%,36%,5%,2,26574,± 0.65%
Angus Reid Institute[537],"November 1–4, 2016",48%,44%,6%,4,1151,± 2.9%
RAND American Life Panel[538],"October 20 – November 1, 2016",44%,35%,8%,9,2269,± 1.9%
Google Consumer Surveys[539],"October 20–24, 2016",39%,34%,6%,5,21240,±0.73%
Public Policy Polling[540],"October 20–21, 2016",46%,40%,5%,6,990,±3.18%
Google Consumer Surveys[541],"October 15–19, 2016",39%,34%,6%,5,22826,±0.70%
Google Consumer Surveys[542],"October 10–14, 2016",38%,33%,7%,5,19900,±0.75%
Public Religion Research Institute/The Atlantic[543],"September 28 – October 2, 2016",47%,41%,3%,6,609,±3.6%
Google Consumer Surveys[544],"September 27 – October 3, 2016",39%,34%,7%,5,22006,±0.71%
Google Consumer Surveys[545],"September 14–20, 2016",36%,35%,8%,1,20864,±0.73%
